RadID;"Lokalitet	";"PrøveID	";KontekstID;Kontekst-beskrivelse;"Lab.-nr.	";14C-BP.;Kalibrert alder (2 sigma);Delta 13C;Øst_UTM32_ETRS89;Nord_UTM32_ETRS89;
45;"Øvre Langgate 65/67	";"TX2123	";K9;Stolpe;"T-6937	";"910 ± 50	";"1027 – 1224 evt.	";"-26.1	";580191;6570819;Blohmé, Mats og Christian Runeby (1986). Innberetning over de arkeologiske undersøkelsene i Øvre Langgate 65-67, Tønsberg, 1985. Tønsberg: Riksantikvaren.
46;"Øvre Langgate 65/67	";"TX2126	";K11;Stolpe;"T-6938	";"1050 ± 70	";"775 – 1161 evt.	";"	";580195;6570818;Blohmé, Mats og Christian Runeby (1986). Innberetning over de arkeologiske undersøkelsene i Øvre Langgate 65-67, Tønsberg, 1985. Tønsberg: Riksantikvaren.
47;"Øvre Langgate 65/67	";"TX2127	";K11;Stolpe;"T-6939	";"1050 ± 70	";"775 – 1161 evt.	";"	";580197;6570816;Blohmé, Mats og Christian Runeby (1986). Innberetning over de arkeologiske undersøkelsene i Øvre Langgate 65-67, Tønsberg, 1985. Tønsberg: Riksantikvaren.
48;"Øvre Langgate 65/67	";"TX2129	";K17;Gjerde;"T-6940	";"930 ± 80	";"989 – 1269 evt.	";"	";580195;6570864;Blohmé, Mats og Christian Runeby (1986). Innberetning over de arkeologiske undersøkelsene i Øvre Langgate 65-67, Tønsberg, 1985. Tønsberg: Riksantikvaren.
49;"Øvre Langgate 65/67	";"TX2137	";K54;Grav;"T-6942	";"800 ± 80	";"1038 – 1383 evt.	";"	";580187;6570817;Blohmé, Mats og Christian Runeby (1986). Innberetning over de arkeologiske undersøkelsene i Øvre Langgate 65-67, Tønsberg, 1985. Tønsberg: Riksantikvaren.
50;"Øvre Langgate 65/67	";"TX2152	";K215;Ardspor;"Ua-1750	";"1690 ± 100	";"130 – 577 evt.	";"	";580195;6570863;Blohmé, Mats og Christian Runeby (1986). Innberetning over de arkeologiske undersøkelsene i Øvre Langgate 65-67, Tønsberg, 1985. Tønsberg: Riksantikvaren.
51;"Øvre Langgate 65/67	";"TX2156	";K95;Grav;"T-6943	";"850 ± 80	";"1031 – 1282 evt.	";"	";580185;6570819;Blohmé, Mats og Christian Runeby (1986). Innberetning over de arkeologiske undersøkelsene i Øvre Langgate 65-67, Tønsberg, 1985. Tønsberg: Riksantikvaren.
52;"Øvre Langgate 65/67	";"TX2160	";K102;Grav;"T-6944	";"980 ± 80	";"892 – 1223 evt.	";"	";580198;6570811;Blohmé, Mats og Christian Runeby (1986). Innberetning over de arkeologiske undersøkelsene i Øvre Langgate 65-67, Tønsberg, 1985. Tønsberg: Riksantikvaren.
53;"Øvre Langgate 65/67	";"TX2164	";K102;Grav;"T-6945	";"870 ± 80	";"1027 – 1277 evt.	";"	";580198;6570811;Blohmé, Mats og Christian Runeby (1986). Innberetning over de arkeologiske undersøkelsene i Øvre Langgate 65-67, Tønsberg, 1985. Tønsberg: Riksantikvaren.
54;"Øvre Langgate 65/67	";"TX2244	";K2;Flettverksrenne;"T-6941	";"910 ± 80	";"995 – 1268 evt.	";"-26.1	";580191;6570855;Blohmé, Mats og Christian Runeby (1986). Innberetning over de arkeologiske undersøkelsene i Øvre Langgate 65-67, Tønsberg, 1985. Tønsberg: Riksantikvaren.
55;"Øvre Langgate 65/67	";"TX2339	";K222;Ardspor;"Ua-1751	";"1400 ± 100	";"429 – 875 evt.	";"	";580192;6570860;Blohmé, Mats og Christian Runeby (1986). Innberetning over de arkeologiske undersøkelsene i Øvre Langgate 65-67, Tønsberg, 1985. Tønsberg: Riksantikvaren.
136;"Øvre Langgate 69	";"P20308	";SL20294;Kullag;"UBA-44450	";"815 ± 26	";"1179 – 1273 evt.	";"	";580181;6570817;Halvorsen, Sunniva Wilberg (2021). Mikaelskirken, Tønsberg. Arkeologisk undersøkelse i forbindelse med restaureringsarbeider. NIKU Oppdragsrapport 135/2017. Norsk institutt for kulturminneforskning (NIKU).
137;"Øvre Langgate 69	";"PK20289	";SL20271;;"UBA-44449	";"821 ± 17	";"1182 – 1269 evt.	";"	";580174;6570820;Halvorsen, Sunniva Wilberg (2021). Mikaelskirken, Tønsberg. Arkeologisk undersøkelse i forbindelse med restaureringsarbeider. NIKU Oppdragsrapport 135/2017. Norsk institutt for kulturminneforskning (NIKU).
