WKT,fid,sone,lokalitet,struktur_id,struktur_navn,funksjonskode,byverdi,bruksverdi,areal_m2,ET_1 (600–1100 evt.),ET_2 (1100–1200 evt.),ET_3 (1200–1300 evt.),ET_4 (1300–1400 evt.),ET_5 (1400–1500 evt.),ET_6 (1500–1537 evt.),utgravningsfase,utgravningsfase_fra (evt.),utgravningsfase_til (evt.),C14_samlet,C14_labid_1,C14_labid_2,C14_labid_3,C14_labid_4,utgravd_år,utgravd_av,utgravd_areal_m2,tbg_kode,niku_prosjektnummer,c_nr,kilde
"MULTIPOLYGON (((580146.130412162 6570868.59211497,580147.345920523 6570867.78748269,580145.394259211 6570864.92847005,580144.007552486 6570865.9898999,580146.130412162 6570868.59211497)))",12,NØ,Anders Madsens Gate 1,"8677",Hus 7,31,Sivile konstruksjoner,Bygning,5.46,0,1,1,1,0,0,"3",1150,1350,,,,,,"2015",NIKU,,,1020517,C60179 ,NIKU Oppdragsrapport 1/2016
"MULTIPOLYGON (((580128.815922432 6570852.52741859,580129.836793375 6570854.1582144,580133.442086636 6570858.15326909,580136.592658223 6570855.39245894,580132.734755142 6570849.83430008,580131.457250207 6570850.66295193,580130.904815639 6570851.14633218,580130.179745269 6570851.52613094,580129.50646564 6570852.14761984,580128.815922432 6570852.52741859)),((580128.574232308 6570852.25120132,580129.230248356 6570851.71603033,580129.644574282 6570851.47434021,580129.972582306 6570851.07727786,580130.404171812 6570850.36947108,580129.420147739 6570848.31510503,580129.264775517 6570848.0734149,580129.52372922 6570847.91804268,580129.782682924 6570848.21152355,580130.386908232 6570849.60987355,580130.525016873 6570850.04146304,580130.853024899 6570850.40399823,580131.301877984 6570850.04146305,580131.733467489 6570849.83430008,580132.372219957 6570849.33365626,580129.243436956 6570844.99595976,580125.150921016 6570848.00956354,580127.324495871 6570850.68190557,580127.555503826 6570850.59790268,580127.797012144 6570850.71340666,580128.185525523 6570851.04941822,580128.469035288 6570851.44843197,580128.55303818 6570851.67943992,580128.500536372 6570851.92094825,580128.406033116 6570852.00495114,580128.574232308 6570852.25120132)),((580135.664408084 6570860.89350725,580137.827482577 6570863.80210742,580141.261100826 6570861.62853255,580141.114095763 6570861.54452967,580140.977591061 6570861.37652388,580140.778084191 6570861.00901123,580140.778084191 6570860.53649495,580141.040593231 6570860.26348555,580141.345103719 6570860.08497939,580140.736082744 6570859.00344216,580139.434037904 6570858.95094034,580139.203029949 6570858.78293455,580138.846017654 6570858.44692299,580138.331499934 6570858.04790925,580138.17399451 6570858.11091142,580137.795981492 6570858.28941757,580137.417968474 6570858.64642986,580137.270963412 6570858.97194107,580137.176460158 6570859.27645156,580137.207961241 6570859.57046168,580137.270963411 6570859.84347109,580137.218461604 6570859.95897506,580136.924451478 6570860.15848193,580135.664408084 6570860.89350725)))",13,NØ,Anders Madsens Gate 3,SL6027,,52,Handel- og næringskonstruksjoner,Jordbruk,75.31,1,0,0,0,0,0,"2",878,1013,942,Beta-484364,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580128.815922432 6570852.52741859,580129.836793375 6570854.1582144,580133.442086636 6570858.15326909,580136.592658223 6570855.39245894,580132.734755142 6570849.83430008,580131.457250207 6570850.66295193,580130.904815639 6570851.14633218,580130.179745269 6570851.52613094,580129.50646564 6570852.14761984,580128.815922432 6570852.52741859)),((580128.574232308 6570852.25120132,580129.230248356 6570851.71603033,580129.644574282 6570851.47434021,580129.972582306 6570851.07727786,580130.404171812 6570850.36947108,580129.420147739 6570848.31510503,580129.264775517 6570848.0734149,580129.52372922 6570847.91804268,580129.782682924 6570848.21152355,580130.386908232 6570849.60987355,580130.525016873 6570850.04146304,580130.853024899 6570850.40399823,580131.301877984 6570850.04146305,580131.733467489 6570849.83430008,580132.372219957 6570849.33365626,580128.959921578 6570845.10027574,580125.150921016 6570848.00956354,580127.324495871 6570850.68190557,580127.555503826 6570850.59790268,580127.797012144 6570850.71340666,580128.185525523 6570851.04941822,580128.469035288 6570851.44843197,580128.55303818 6570851.67943992,580128.500536372 6570851.92094825,580128.406033116 6570852.00495114,580128.574232308 6570852.25120132)),((580135.664408084 6570860.89350725,580137.827482577 6570863.80210742,580141.261100826 6570861.62853255,580141.114095763 6570861.54452967,580140.977591061 6570861.37652388,580140.778084191 6570861.00901123,580140.778084191 6570860.53649495,580141.040593231 6570860.26348555,580141.345103719 6570860.08497939,580140.736082744 6570859.00344216,580139.434037904 6570858.95094034,580139.203029949 6570858.78293455,580138.846017654 6570858.44692299,580138.331499934 6570858.04790925,580138.17399451 6570858.11091142,580137.795981492 6570858.28941757,580137.417968474 6570858.64642986,580137.270963412 6570858.97194107,580137.176460158 6570859.27645156,580137.207961241 6570859.57046168,580137.270963411 6570859.84347109,580137.218461604 6570859.95897506,580136.924451478 6570860.15848193,580135.664408084 6570860.89350725)))",14,NØ,Anders Madsens Gate 3,SL6027,,52,Handel- og næringskonstruksjoner,Jordbruk,74.75,1,0,0,0,0,0,"1",878,1013,942,Beta-484364,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580132.734755142 6570849.83430008,580132.372219957 6570849.33365626,580131.733467489 6570849.83430008,580131.301877984 6570850.04146305,580130.853024899 6570850.40399823,580130.525016873 6570850.04146304,580130.386908232 6570849.60987355,580129.782682924 6570848.21152355,580129.52372922 6570847.91804268,580129.264775517 6570848.0734149,580129.420147739 6570848.31510503,580129.799946504 6570849.02291182,580130.404171812 6570850.36947108,580130.162481689 6570850.71474268,580129.972582306 6570851.07727786,580129.644574282 6570851.47434021,580129.230248356 6570851.71603033,580128.574232308 6570852.25120132,580128.815922432 6570852.52741859,580129.50646564 6570852.14761984,580130.179745269 6570851.52613094,580130.904815639 6570851.14633218,580131.457250207 6570850.66295193,580132.734755142 6570849.83430008)))",15,NØ,Anders Madsens Gate 3,SA7598,,36,Sivile konstruksjoner,Vannhåndtering,3.54,1,0,0,0,0,0,"2",895,1021,981,Beta-484369,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580141.599414187 6570860.40471126,580140.733726754 6570859.02606989,580139.434037904 6570858.95094034,580137.898524441 6570860.31863176,580138.120989738 6570860.52027458,580138.317886553 6570860.59680106,580138.471175468 6570860.94499946,580139.42307282 6570862.13931138,580141.599414187 6570860.40471126)))",16,NØ,Anders Madsens Gate 3,SA4356,,31,Sivile konstruksjoner,Bygning,6.68,1,1,0,0,0,0,"5",1070,1154,1092,Beta-484360,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580136.014230027 6570854.47801957,580132.984906631 6570857.0125936,580133.728932124 6570857.90182816,580136.659708072 6570855.34910159,580136.014230027 6570854.47801957)))",17,NØ,Anders Madsens Gate 3,SA3445,,14,Transport,Passasje,4.39,1,1,0,0,0,0,"5",1025,1160,1102,Beta-484358,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580128.477985613 6570851.943499,580130.435178865 6570853.90069226,580133.078249313 6570856.71928351,580135.938519867 6570854.37584761,580133.678976659 6570851.19465909,580132.08523057 6570848.9357786,580128.477985613 6570851.943499)))",18,NØ,Anders Madsens Gate 3,SA3648,,31,Sivile konstruksjoner,Bygning,27.66,1,1,0,0,0,0,"5",1033,1190,1126,Beta-484359,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580141.599414187 6570860.40471126,580140.736082744 6570859.00344216,580139.434037904 6570858.95094034,580138.331499934 6570858.04790925,580137.795981492 6570858.28941757,580137.417968474 6570858.64642986,580137.258112986 6570858.96853343,580137.176460158 6570859.27645156,580137.297920012 6570859.48557435,580137.449122747 6570859.62124484,580137.656948044 6570859.9378564,580137.665262462 6570860.10720281,580137.898524441 6570860.31863176,580138.120989738 6570860.52027458,580138.317886553 6570860.59680106,580138.471175468 6570860.94499946,580139.42307282 6570862.13931138,580141.599414187 6570860.40471126)))",19,NØ,Anders Madsens Gate 3,SA5266,,31,Sivile konstruksjoner,Bygning,9.49,1,1,0,0,0,0,"5",1033,1190,1126,Beta-484363,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580129.11895553 6570846.11779989,580128.080590261 6570847.4759711,580128.08063478 6570847.4759969,580129.067679725 6570848.04803496,580130.017983296 6570846.80513534,580129.11895553 6570846.11779989)),((580126.691727501 6570846.67098348,580125.248792489 6570847.93481001,580130.172055005 6570851.19289263,580131.25873055 6570849.31802753,580128.08063478 6570847.4759969,580128.08059026 6570847.4759711,580128.080590261 6570847.4759711,580126.691727501 6570846.67098348)))",20,NØ,Anders Madsens Gate 3,SA6077/SA5077,,14,Transport,Passasje,13.04,1,1,0,0,0,0,"4",1020,1155,1144,Beta-484365,Beta-484362,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580141.633706234 6570860.45917401,580140.733528025 6570859.02950775,580140.279909451 6570858.98504807,580138.317886553 6570860.59680106,580138.466437345 6570860.94877588,580138.965322117 6570861.5844318,580139.4935322 6570862.22472134,580141.633706234 6570860.45917401)))",21,NØ,Anders Madsens Gate 3,SA2947,,31,Sivile konstruksjoner,Bygning,5.72,0,1,0,0,0,0,"5",1150,1256,1194,Beta-484357,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580126.506552191 6570847.06883453,580126.635278422 6570847.07802925,580126.828367767 6570847.25272914,580127.067430766 6570847.48259741,580127.186962266 6570847.68488149,580128.152436267 6570848.77279716,580128.489079866 6570849.26745714,580129.004350681 6570849.89952267,580129.828783984 6570850.58655042,580130.076113975 6570850.72395598,580130.137946473 6570850.69647486,580130.124205918 6570850.54532876,580129.718859543 6570850.28425821,580129.128015676 6570849.82394962,580128.97686957 6570849.63158185,580128.633355694 6570849.1575327,580128.461598755 6570848.79340799,580128.124955157 6570848.38119133,580127.330472343 6570847.60767788,580126.887647689 6570847.07080197,580126.67995117 6570846.93364389,580126.507523871 6570846.92188747,580126.327258968 6570846.98850711,580126.329595438 6570847.0700227,580126.377825961 6570847.11480818,580126.506552191 6570847.06883453)),((580131.375096898 6570851.87273134,580131.327263327 6570851.76909194,580130.992428338 6570851.65748028,580130.832983106 6570851.6734248,580130.777177274 6570851.76909194,580130.912705722 6570851.83287004,580131.303346542 6570851.92853718,580131.375096898 6570851.87273134)))",22,NØ,Anders Madsens Gate 3,SA7304,,32,Sivile konstruksjoner,Gjerde,1.05,0,1,0,0,0,0,"3",1150,1256,1194,Beta-484366,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580131.412457744 6570855.90422085,580133.442086636 6570858.15326909,580136.590054668 6570855.39425893,580135.154169939 6570853.31735596,580131.412457744 6570855.90422085)))",23,NØ,Anders Madsens Gate 3,SA4926,,31,Sivile konstruksjoner,Bygning,12.09,0,1,0,0,0,0,"4",1150,1256,1194,Beta-484361,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580125.248792489 6570847.93481001,580128.192429255 6570851.74365844,580132.08523057 6570848.9357786,580129.243436956 6570844.99595976,580126.148959221 6570847.09687999,580125.25130321 6570847.93247286,580125.248792489 6570847.93481001)))",24,NØ,Anders Madsens Gate 3,SA1750,,31,Sivile konstruksjoner,Bygning,23.96,0,0,1,0,0,0,"6",1164,1265,1234,Beta-484355,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580129.226321703 6570844.98955678,580126.17434146 6570847.12414748,580128.259777052 6570849.61661409,580131.300123738 6570847.6340655,580129.226321703 6570844.98955678)))",25,NØ,Anders Madsens Gate 3,SA2137,,31,Sivile konstruksjoner,Bygning,12.11,0,0,1,0,0,0,"6",1184,1275,1244,Beta-484356,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
"MULTIPOLYGON (((580132.734755142 6570849.83430008,580132.372219957 6570849.33365626,580131.733467489 6570849.83430008,580131.301877984 6570850.04146305,580130.853024899 6570850.40399823,580130.525016873 6570850.04146304,580130.386908232 6570849.60987355,580129.782682924 6570848.21152355,580129.52372922 6570847.91804268,580129.264775517 6570848.0734149,580129.420147739 6570848.31510503,580129.799946504 6570849.02291182,580130.404171812 6570850.36947108,580130.162481689 6570850.71474268,580129.972582306 6570851.07727786,580129.644574282 6570851.47434021,580129.230248356 6570851.71603033,580128.574232308 6570852.25120132,580128.815922432 6570852.52741859,580129.50646564 6570852.14761984,580130.179745269 6570851.52613094,580130.904815639 6570851.14633218,580131.457250207 6570850.66295193,580132.734755142 6570849.83430008)))",26,NØ,Anders Madsens Gate 3,SA7598,,36,Sivile konstruksjoner,Vannhåndtering,3.54,1,0,0,0,0,0,"1",895,1021,,,,,,2017/2019,NIKU,92,,1021103,C61008,NIKU Oppdragsrapport 113/2018
